epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3713.14,1.14361,0.53455,1.17021,0.94864,0.87461,0.94459,0.60934,1.25263,0.60275,1.40361,0.0095941,0.0095941,0.0095941
43,3799.95,1.14409,0.54093,1.16703,0.93247,0.86413,0.94199,0.59151,1.32854,0.64641,1.39555,0.0095842,0.0095842,0.0095842
44,3887.25,1.1397,0.53361,1.15993,0.93989,0.8604,0.93576,0.58726,1.30719,0.63331,1.44744,0.0095743,0.0095743,0.0095743
45,3974.88,1.14287,0.53208,1.16766,0.95271,0.89135,0.95099,0.63928,1.20448,0.58563,1.35848,0.0095644,0.0095644,0.0095644
46,4062.54,1.1369,0.52839,1.16633,0.92022,0.86138,0.93741,0.60312,1.27279,0.62661,1.42429,0.0095545,0.0095545,0.0095545
47,4149.58,1.1383,0.52711,1.16529,0.94479,0.85961,0.93998,0.61139,1.2816,0.63371,1.39321,0.0095446,0.0095446,0.0095446
48,4236.47,1.13883,0.52899,1.1684,0.96372,0.9118,0.96644,0.63181,1.2225,0.54743,1.37553,0.0095347,0.0095347,0.0095347
49,4323.44,1.13305,0.52535,1.16416,0.96636,0.88196,0.95804,0.6329,1.21419,0.57063,1.3602,0.0095248,0.0095248,0.0095248
50,4410.28,1.13326,0.52545,1.16653,0.9485,0.88172,0.95241,0.6096,1.27767,0.5812,1.44316,0.0095149,0.0095149,0.0095149
51,4497.27,1.13401,0.5277,1.16311,0.92835,0.86883,0.93804,0.60721,1.30746,0.61217,1.4297,0.009505,0.009505,0.009505
52,4583.94,1.12985,0.51871,1.1629,0.96231,0.9105,0.96427,0.65021,1.17896,0.52574,1.36362,0.0094951,0.0094951,0.0094951
53,4680.77,1.12534,0.51951,1.16525,0.95332,0.87322,0.94928,0.62105,1.24337,0.56977,1.42275,0.0094852,0.0094852,0.0094852
54,4767.67,1.13005,0.52035,1.16575,0.9462,0.89256,0.95538,0.61935,1.28088,0.55109,1.46457,0.0094753,0.0094753,0.0094753
55,4854.57,1.12242,0.51798,1.1614,0.95951,0.89639,0.96325,0.62055,1.2739,0.55529,1.40598,0.0094654,0.0094654,0.0094654
56,4941.71,1.12153,0.51872,1.16049,0.95118,0.89886,0.95921,0.63121,1.22156,0.54404,1.37883,0.0094555,0.0094555,0.0094555
57,5028.51,1.12249,0.51823,1.15821,0.94047,0.87347,0.9476,0.60475,1.28389,0.58936,1.41136,0.0094456,0.0094456,0.0094456
58,5115.73,1.12224,0.51416,1.15881,0.9355,0.88172,0.94732,0.61433,1.27543,0.57329,1.43317,0.0094357,0.0094357,0.0094357
59,5202.53,1.11753,0.51231,1.16006,0.94655,0.87669,0.95271,0.62281,1.24168,0.56178,1.41865,0.0094258,0.0094258,0.0094258
60,5294,1.11925,0.51381,1.16333,0.95098,0.89641,0.9553,0.62946,1.2186,0.54862,1.42349,0.0094159,0.0094159,0.0094159
61,5380.73,1.11267,0.50917,1.15795,0.95778,0.91339,0.96507,0.63851,1.22488,0.52425,1.39787,0.009406,0.009406,0.009406
62,5467.66,1.11527,0.51239,1.15832,0.94211,0.88979,0.95133,0.62721,1.26308,0.57023,1.41049,0.0093961,0.0093961,0.0093961
63,5554.55,1.12307,0.51221,1.1673,0.95168,0.884,0.95561,0.61475,1.26257,0.5612,1.43231,0.0093862,0.0093862,0.0093862
64,5641.47,1.11222,0.5107,1.15915,0.9617,0.89472,0.96328,0.65267,1.18746,0.53037,1.36576,0.0093763,0.0093763,0.0093763
65,5728.39,1.11265,0.508,1.15605,0.9527,0.90207,0.96399,0.64854,1.21208,0.53537,1.37767,0.0093664,0.0093664,0.0093664
66,5815.31,1.10397,0.50324,1.15163,0.9526,0.90364,0.96206,0.62411,1.26392,0.53607,1.40995,0.0093565,0.0093565,0.0093565
67,5902.11,1.11755,0.51046,1.15493,0.95101,0.90412,0.96389,0.64828,1.19955,0.53139,1.36337,0.0093466,0.0093466,0.0093466
68,5988.88,1.1056,0.50541,1.15076,0.95009,0.8999,0.96312,0.63374,1.23119,0.52851,1.40465,0.0093367,0.0093367,0.0093367
69,6076.04,1.10692,0.50569,1.15345,0.96417,0.90882,0.9671,0.64675,1.19584,0.50344,1.37914,0.0093268,0.0093268,0.0093268
70,6163.96,1.10445,0.50489,1.15301,0.94764,0.8982,0.9601,0.63244,1.23459,0.53675,1.40109,0.0093169,0.0093169,0.0093169
71,6251.32,1.1046,0.50428,1.14999,0.94934,0.89617,0.95963,0.64076,1.20439,0.52682,1.40302,0.009307,0.009307,0.009307
72,6338.27,1.10517,0.50339,1.15826,0.95482,0.9052,0.96231,0.63551,1.24563,0.5341,1.42159,0.0092971,0.0092971,0.0092971
73,6426.42,1.10474,0.50251,1.15443,0.95018,0.89823,0.95604,0.62891,1.24129,0.5398,1.41031,0.0092872,0.0092872,0.0092872
74,6513.45,1.09982,0.49989,1.15369,0.9573,0.89195,0.95673,0.63044,1.2336,0.54433,1.39484,0.0092773,0.0092773,0.0092773
75,6600.5,1.10276,0.50278,1.15687,0.95657,0.90629,0.96323,0.63222,1.23793,0.52621,1.40719,0.0092674,0.0092674,0.0092674
76,6687.45,1.1006,0.49735,1.15561,0.95854,0.89943,0.9627,0.63908,1.23861,0.51716,1.4161,0.0092575,0.0092575,0.0092575
77,6774.44,1.09696,0.50096,1.15344,0.95044,0.90809,0.96478,0.641,1.22939,0.51781,1.40222,0.0092476,0.0092476,0.0092476
78,6874.55,1.09608,0.50407,1.15049,0.95413,0.90444,0.96101,0.65334,1.18383,0.52395,1.36475,0.0092377,0.0092377,0.0092377
79,6968.86,1.09486,0.49843,1.15259,0.94909,0.894,0.95901,0.64081,1.21393,0.5315,1.39583,0.0092278,0.0092278,0.0092278
80,7062.93,1.09309,0.49726,1.15211,0.95708,0.89774,0.96544,0.65356,1.19903,0.51091,1.37331,0.0092179,0.0092179,0.0092179
81,7154.42,1.09,0.49441,1.15115,0.96007,0.89665,0.95796,0.63778,1.21672,0.53123,1.40904,0.009208,0.009208,0.009208
82,7241.66,1.08302,0.49524,1.1376,0.95354,0.89247,0.95593,0.63195,1.23466,0.53517,1.41136,0.0091981,0.0091981,0.0091981
83,7328.55,1.09669,0.49632,1.15165,0.94321,0.90797,0.96317,0.63354,1.2524,0.52672,1.41856,0.0091882,0.0091882,0.0091882
84,7415.7,1.09197,0.49238,1.15213,0.9641,0.90882,0.96543,0.63959,1.2224,0.51688,1.39884,0.0091783,0.0091783,0.0091783
85,7502.55,1.09038,0.49389,1.1504,0.95975,0.91057,0.96862,0.65275,1.20779,0.50702,1.39214,0.0091684,0.0091684,0.0091684
86,7604.31,1.0873,0.49365,1.14625,0.95658,0.89256,0.95944,0.64198,1.21788,0.5222,1.39902,0.0091585,0.0091585,0.0091585
87,7691.37,1.08817,0.49553,1.14723,0.96285,0.90526,0.9648,0.64841,1.20849,0.50437,1.38932,0.0091486,0.0091486,0.0091486
88,7778.06,1.09025,0.48959,1.15237,0.95698,0.90267,0.96398,0.64812,1.22012,0.5135,1.41241,0.0091387,0.0091387,0.0091387
89,7864.81,1.08423,0.48581,1.14756,0.95883,0.90846,0.96667,0.64823,1.20975,0.5026,1.40851,0.0091288,0.0091288,0.0091288
