epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3992.74,1.16087,0.54595,1.16119,0.94957,0.89195,0.95957,0.61849,1.26846,0.58064,1.31741,0.0095941,0.0095941,0.0095941
43,4086.57,1.15208,0.54567,1.16495,0.94327,0.90732,0.96149,0.63069,1.22528,0.56108,1.32824,0.0095842,0.0095842,0.0095842
44,4180.39,1.15118,0.543,1.15712,0.95258,0.84921,0.95118,0.63145,1.22404,0.60734,1.35218,0.0095743,0.0095743,0.0095743
45,4276.19,1.14996,0.5426,1.15649,0.94638,0.90593,0.9609,0.64559,1.1546,0.5515,1.28205,0.0095644,0.0095644,0.0095644
46,4370.07,1.15176,0.5467,1.16105,0.95933,0.91412,0.96887,0.65852,1.18119,0.53812,1.31369,0.0095545,0.0095545,0.0095545
47,4464.06,1.14396,0.54255,1.15243,0.9296,0.84297,0.91851,0.58079,1.32462,0.67068,1.44266,0.0095446,0.0095446,0.0095446
48,4560.15,1.13547,0.53763,1.15001,0.9534,0.89211,0.95637,0.64285,1.21955,0.58962,1.30056,0.0095347,0.0095347,0.0095347
49,4663.52,1.14806,0.53978,1.15199,0.9387,0.89232,0.95222,0.61799,1.24754,0.59842,1.31439,0.0095248,0.0095248,0.0095248
50,4757.48,1.14412,0.53452,1.15232,0.95108,0.89388,0.9565,0.6514,1.18844,0.56323,1.31556,0.0095149,0.0095149,0.0095149
51,4851.63,1.13587,0.53326,1.15234,0.93916,0.88327,0.95305,0.64395,1.20417,0.57893,1.34339,0.009505,0.009505,0.009505
52,4945.65,1.13672,0.53397,1.1491,0.93772,0.89773,0.95776,0.64026,1.2251,0.5737,1.31945,0.0094951,0.0094951,0.0094951
53,5039.61,1.13321,0.53079,1.14738,0.93573,0.90111,0.95844,0.65142,1.18783,0.55646,1.29816,0.0094852,0.0094852,0.0094852
54,5133.51,1.12602,0.53016,1.14728,0.9502,0.9152,0.96641,0.65481,1.2068,0.55171,1.32718,0.0094753,0.0094753,0.0094753
