epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5925.81,0.5367,0.27883,0.94373,0.93429,0.89135,0.95227,0.64956,1.16446,0.52789,1.41563,0.0095941,0.0095941,0.0095941
43,6067.07,0.54317,0.28644,0.9502,0.95436,0.90556,0.95887,0.65788,1.1654,0.49651,1.4202,0.0095842,0.0095842,0.0095842
44,6207.95,0.5329,0.27725,0.9432,0.95707,0.89416,0.95429,0.65652,1.16278,0.5145,1.41726,0.0095743,0.0095743,0.0095743
45,6348.93,0.52803,0.2769,0.93929,0.96044,0.89509,0.95875,0.66165,1.16849,0.50252,1.42031,0.0095644,0.0095644,0.0095644
46,6490.05,0.52678,0.27721,0.9427,0.95557,0.89954,0.95726,0.65828,1.16824,0.4985,1.41847,0.0095545,0.0095545,0.0095545
47,6631.03,0.52613,0.27402,0.9402,0.95305,0.90468,0.95873,0.65547,1.17161,0.49396,1.41577,0.0095446,0.0095446,0.0095446
48,6772.13,0.5204,0.2733,0.93983,0.95467,0.89292,0.95434,0.65741,1.16516,0.50521,1.42528,0.0095347,0.0095347,0.0095347
49,6913.02,0.51268,0.27167,0.93616,0.95284,0.8928,0.95465,0.65365,1.17769,0.50218,1.42773,0.0095248,0.0095248,0.0095248
50,7053.99,0.51632,0.27039,0.93561,0.95804,0.91195,0.9624,0.66678,1.15515,0.47461,1.39809,0.0095149,0.0095149,0.0095149
51,7195.19,0.51777,0.26813,0.93614,0.95582,0.90947,0.96406,0.66949,1.14816,0.48151,1.40619,0.009505,0.009505,0.009505
52,7336.08,0.51448,0.26789,0.93524,0.95877,0.9047,0.9647,0.66709,1.15598,0.481,1.40906,0.0094951,0.0094951,0.0094951
53,7477.36,0.51713,0.26995,0.93871,0.95455,0.90448,0.96425,0.6691,1.14677,0.48046,1.40764,0.0094852,0.0094852,0.0094852
54,7618.63,0.5149,0.26857,0.93505,0.95722,0.90566,0.96332,0.65937,1.16951,0.48001,1.42123,0.0094753,0.0094753,0.0094753
55,7759.51,0.51403,0.26563,0.93784,0.9497,0.90954,0.96179,0.65683,1.18355,0.47545,1.42575,0.0094654,0.0094654,0.0094654
56,7900.53,0.51349,0.26895,0.93614,0.95661,0.90554,0.96179,0.66505,1.15586,0.47702,1.41005,0.0094555,0.0094555,0.0094555
57,8043.16,0.50598,0.26349,0.933,0.95432,0.90039,0.9603,0.66537,1.16301,0.4908,1.42084,0.0094456,0.0094456,0.0094456
58,8184.05,0.51026,0.26334,0.93528,0.95104,0.91248,0.96511,0.66805,1.15404,0.47171,1.406,0.0094357,0.0094357,0.0094357
59,8324.99,0.50663,0.262,0.93471,0.95317,0.90962,0.96364,0.66962,1.15691,0.46594,1.40975,0.0094258,0.0094258,0.0094258
60,8466.03,0.50733,0.26416,0.93128,0.95652,0.90896,0.96332,0.66901,1.15465,0.47049,1.40712,0.0094159,0.0094159,0.0094159
61,8606.88,0.50773,0.26352,0.93297,0.95315,0.91279,0.9648,0.66667,1.1536,0.47457,1.40625,0.009406,0.009406,0.009406
62,8747.83,0.5057,0.26185,0.93373,0.95801,0.90695,0.96415,0.66686,1.15342,0.47498,1.40899,0.0093961,0.0093961,0.0093961
