epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3703.88,1.38596,0.76492,1.25934,0.88277,0.73469,0.8398,0.47197,1.56161,1.0264,1.48628,0.0095941,0.0095941,0.0095941
43,3791.34,1.38411,0.76559,1.26091,0.86025,0.75927,0.8488,0.48154,1.51898,0.98477,1.41968,0.0095842,0.0095842,0.0095842
44,3878.57,1.37863,0.75855,1.25467,0.88756,0.77054,0.84635,0.4747,1.56012,0.97241,1.46708,0.0095743,0.0095743,0.0095743
45,3965.88,1.37104,0.75594,1.25227,0.85586,0.77313,0.84979,0.48212,1.55628,0.98918,1.44661,0.0095644,0.0095644,0.0095644
46,4053.18,1.37586,0.75676,1.2506,0.8271,0.77608,0.83501,0.46748,1.56134,0.97381,1.4563,0.0095545,0.0095545,0.0095545
47,4140.67,1.37303,0.75031,1.25392,0.90121,0.74536,0.85735,0.47284,1.59123,0.95114,1.48739,0.0095446,0.0095446,0.0095446
48,4231.59,1.37309,0.75277,1.2538,0.85228,0.77511,0.85378,0.48852,1.51761,0.94251,1.42033,0.0095347,0.0095347,0.0095347
49,4319.54,1.36627,0.7454,1.25024,0.83671,0.81559,0.85995,0.48114,1.55586,0.92227,1.47954,0.0095248,0.0095248,0.0095248
50,4407.71,1.37026,0.74845,1.25272,0.88959,0.7933,0.88012,0.49656,1.53081,0.84229,1.45296,0.0095149,0.0095149,0.0095149
51,4495.24,1.36974,0.74315,1.25396,0.80426,0.74932,0.82157,0.44896,1.61148,1.09684,1.55194,0.009505,0.009505,0.009505
52,4582.76,1.36098,0.73514,1.24735,0.80336,0.73177,0.83228,0.4754,1.53058,1.10623,1.44078,0.0094951,0.0094951,0.0094951
53,4670.47,1.35315,0.73962,1.24444,0.89518,0.81468,0.88447,0.51028,1.49212,0.83699,1.40865,0.0094852,0.0094852,0.0094852
54,4757.89,1.3582,0.7372,1.24908,0.83738,0.78752,0.83383,0.47408,1.55099,0.96405,1.48641,0.0094753,0.0094753,0.0094753
55,4845.18,1.35764,0.73508,1.24585,0.80815,0.78445,0.85069,0.48817,1.51462,0.96058,1.44041,0.0094654,0.0094654,0.0094654
56,4932.55,1.35059,0.73076,1.2443,0.856,0.74468,0.8461,0.48116,1.52409,0.93051,1.46476,0.0094555,0.0094555,0.0094555
57,5019.95,1.35004,0.73944,1.24579,0.78741,0.80438,0.84031,0.48129,1.52535,0.95846,1.44593,0.0094456,0.0094456,0.0094456
58,5109.34,1.35254,0.72753,1.24594,0.8156,0.73842,0.82978,0.45653,1.61159,1.05926,1.54115,0.0094357,0.0094357,0.0094357
59,5196.65,1.34616,0.72579,1.23705,0.85223,0.78138,0.86039,0.49349,1.51697,0.90206,1.41407,0.0094258,0.0094258,0.0094258
60,5284.06,1.34451,0.72478,1.23563,0.78046,0.80198,0.84734,0.47452,1.56959,0.95637,1.49757,0.0094159,0.0094159,0.0094159
61,5371.38,1.33605,0.72025,1.23644,0.80799,0.77503,0.85063,0.48229,1.53974,0.95724,1.44767,0.009406,0.009406,0.009406
62,5458.52,1.34464,0.72273,1.24195,0.84139,0.81341,0.86021,0.49005,1.53015,0.87479,1.46734,0.0093961,0.0093961,0.0093961
63,5546.45,1.34193,0.71632,1.24107,0.86015,0.77865,0.86093,0.49575,1.52005,0.88717,1.44584,0.0093862,0.0093862,0.0093862
64,5633.95,1.33615,0.72151,1.23756,0.83214,0.7444,0.82253,0.46779,1.53331,1.02089,1.46296,0.0093763,0.0093763,0.0093763
65,5722,1.33905,0.71594,1.23739,0.83448,0.8198,0.86533,0.50039,1.50785,0.87596,1.4274,0.0093664,0.0093664,0.0093664
66,5809.65,1.32677,0.71231,1.23571,0.79983,0.79065,0.83498,0.4716,1.55107,0.95269,1.51275,0.0093565,0.0093565,0.0093565
67,5896.76,1.33774,0.7184,1.23572,0.89779,0.76706,0.85387,0.48012,1.58258,0.9014,1.52253,0.0093466,0.0093466,0.0093466
68,5984.21,1.32342,0.70547,1.22769,0.91205,0.82691,0.89504,0.51723,1.51839,0.80631,1.42092,0.0093367,0.0093367,0.0093367
69,6071.67,1.32913,0.71241,1.22953,0.78306,0.81474,0.85046,0.49634,1.48465,0.92221,1.4113,0.0093268,0.0093268,0.0093268
70,6159.27,1.32596,0.70834,1.22918,0.83447,0.82426,0.86945,0.488,1.52207,0.87917,1.43597,0.0093169,0.0093169,0.0093169
71,6247.19,1.32684,0.70815,1.22981,0.85878,0.76536,0.84763,0.47608,1.55838,0.91992,1.50591,0.009307,0.009307,0.009307
72,6334.9,1.32312,0.70431,1.23494,0.86374,0.81209,0.87255,0.49508,1.51709,0.85082,1.45345,0.0092971,0.0092971,0.0092971
73,6423.15,1.32212,0.70566,1.22822,0.81864,0.80282,0.86184,0.49031,1.52656,0.9288,1.45929,0.0092872,0.0092872,0.0092872
74,6510.41,1.32209,0.70494,1.22981,0.83021,0.80137,0.84437,0.48037,1.5158,0.94766,1.45333,0.0092773,0.0092773,0.0092773
75,6597.58,1.31901,0.70866,1.23276,0.83873,0.81258,0.86493,0.50058,1.50098,0.86668,1.43817,0.0092674,0.0092674,0.0092674
76,6684.77,1.32538,0.70004,1.23165,0.83267,0.81185,0.87411,0.51,1.47919,0.85381,1.41776,0.0092575,0.0092575,0.0092575
77,6771.95,1.31305,0.70406,1.23261,0.81966,0.77969,0.84807,0.48826,1.52398,0.963,1.50309,0.0092476,0.0092476,0.0092476
78,6861.02,1.31734,0.69958,1.23724,0.87394,0.78933,0.87013,0.49996,1.51173,0.86069,1.48486,0.0092377,0.0092377,0.0092377
79,6948.43,1.30957,0.69402,1.22598,0.8479,0.76884,0.8589,0.49279,1.51836,0.90794,1.46549,0.0092278,0.0092278,0.0092278
80,7035.51,1.31104,0.6941,1.22106,0.85722,0.80053,0.87513,0.49741,1.53891,0.84746,1.47415,0.0092179,0.0092179,0.0092179
81,7122.93,1.30955,0.69108,1.22817,0.76561,0.81639,0.81317,0.46808,1.51796,0.95637,1.48593,0.009208,0.009208,0.009208
82,7210.46,1.30345,0.69178,1.21581,0.81647,0.82209,0.84848,0.48942,1.50325,0.88037,1.44035,0.0091981,0.0091981,0.0091981
83,7298.05,1.31464,0.69816,1.22393,0.87279,0.82395,0.88126,0.51272,1.48494,0.80089,1.42953,0.0091882,0.0091882,0.0091882
84,7385.18,1.31027,0.69419,1.22631,0.87958,0.80426,0.87401,0.5055,1.49907,0.83781,1.45324,0.0091783,0.0091783,0.0091783
85,7473.19,1.30484,0.6902,1.22336,0.92742,0.81577,0.88706,0.51031,1.50896,0.81023,1.46248,0.0091684,0.0091684,0.0091684
86,7560.64,1.30308,0.68845,1.22604,0.87621,0.82783,0.88886,0.50639,1.51464,0.7958,1.48921,0.0091585,0.0091585,0.0091585
87,7647.79,1.3035,0.69307,1.2278,0.91867,0.82183,0.89064,0.51208,1.50267,0.78454,1.47921,0.0091486,0.0091486,0.0091486
88,7734.96,1.30705,0.68469,1.22513,0.91224,0.80634,0.88794,0.5166,1.49101,0.79959,1.45185,0.0091387,0.0091387,0.0091387
89,7822.05,1.29792,0.67832,1.2233,0.91541,0.82252,0.89095,0.51964,1.4932,0.78378,1.45707,0.0091288,0.0091288,0.0091288
90,7909.58,1.30521,0.68838,1.22577,0.84457,0.8011,0.87189,0.50398,1.50352,0.86332,1.47189,0.0091189,0.0091189,0.0091189
91,8003.66,1.30146,0.68634,1.21574,0.84455,0.81318,0.87842,0.50653,1.51254,0.84377,1.46314,0.009109,0.009109,0.009109
92,8091.91,1.30003,0.68581,1.21793,0.85774,0.83229,0.88984,0.51555,1.49482,0.79552,1.43797,0.0090991,0.0090991,0.0090991
