epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,11619.8,1.26729,0.62918,1.26752,0.88754,0.82327,0.89804,0.52446,1.50983,0.7459,1.6324,0.0095941,0.0095941,0.0095941
43,11899,1.26236,0.62913,1.26667,0.93223,0.85824,0.91536,0.53935,1.47421,0.66535,1.60893,0.0095842,0.0095842,0.0095842
44,12175.4,1.26245,0.62085,1.2623,0.92803,0.80917,0.89585,0.52038,1.50548,0.73109,1.63077,0.0095743,0.0095743,0.0095743
45,12451.6,1.25264,0.6191,1.25815,0.92765,0.82631,0.89714,0.5187,1.50815,0.73661,1.63746,0.0095644,0.0095644,0.0095644
46,12727.9,1.25099,0.62401,1.25897,0.91424,0.81137,0.89263,0.51959,1.49892,0.74079,1.6235,0.0095545,0.0095545,0.0095545
47,13004.4,1.24418,0.61784,1.24846,0.89162,0.84036,0.89812,0.52781,1.48969,0.72147,1.61719,0.0095446,0.0095446,0.0095446
48,13280.5,1.23824,0.6131,1.252,0.92703,0.81869,0.90079,0.52558,1.49429,0.72,1.62754,0.0095347,0.0095347,0.0095347
49,13557.4,1.23323,0.60914,1.24281,0.89476,0.82341,0.8966,0.52747,1.48198,0.7237,1.61666,0.0095248,0.0095248,0.0095248
50,13833.8,1.23005,0.6066,1.24331,0.91508,0.81639,0.89648,0.52665,1.48751,0.72439,1.62199,0.0095149,0.0095149,0.0095149
51,14110.1,1.23276,0.60577,1.24442,0.92047,0.81763,0.9016,0.53102,1.48983,0.71243,1.6241,0.009505,0.009505,0.009505
52,14386.3,1.22284,0.60024,1.23944,0.91026,0.84306,0.90337,0.5284,1.49302,0.69294,1.62993,0.0094951,0.0094951,0.0094951
53,14663.2,1.2218,0.59584,1.24032,0.91119,0.81808,0.89077,0.52113,1.50126,0.71541,1.63462,0.0094852,0.0094852,0.0094852
54,14939.7,1.20687,0.59018,1.23012,0.92474,0.84317,0.90974,0.53695,1.47226,0.66802,1.618,0.0094753,0.0094753,0.0094753
55,15216.6,1.20752,0.59017,1.23236,0.9418,0.82739,0.90861,0.5339,1.47608,0.67114,1.62943,0.0094654,0.0094654,0.0094654
56,15492.9,1.21257,0.59238,1.23754,0.92374,0.81739,0.90301,0.52961,1.48302,0.69165,1.62911,0.0094555,0.0094555,0.0094555
57,15769.2,1.20328,0.58704,1.22863,0.92519,0.81547,0.89804,0.52806,1.49114,0.7088,1.63905,0.0094456,0.0094456,0.0094456
58,16045.3,1.19621,0.58799,1.2263,0.92915,0.82615,0.90367,0.52989,1.48851,0.69123,1.63702,0.0094357,0.0094357,0.0094357
59,16321.6,1.19464,0.58106,1.22455,0.93772,0.83057,0.90276,0.52719,1.49086,0.68175,1.63337,0.0094258,0.0094258,0.0094258
